,PropertyID,Address ,Building Name,Suite,City,State,Postal Code,Market ,Sub Market Cluster,Sub Market,Micro Market,Property Type,Building Type,Building Sub Type,Building Sub Specialty,Building Class,Building Sub Class,Building Status,Space Type,Availability Type,Space Condition,Build Out Condition,Condition,Floors,Is Available,Is Vacant,Is Full Floor?,Is Full Building?,Is Divisibile?,View Space,Min Available s.f.,Max Available s.f.,Rent Low,Rent High,Rent Type,Sale Price,Floor Contig s.f.,Large Block (Bldg Contig) s.f.,Calculated Bldg Contig s.f.,Bldg Contig Rent,Operating Expenses p.s.f.,Taxes p.s.f.,Common Area Maintenance p.s.f.,Date on Market,Vacating Tenant Company,Date Vacant,New Tenant,Move In Date,Earliest Move In Timing,Earliest Move in Date,Minimum Lease Term Months,Maximum Lease Term Months,In Statistics?,Sublessor Company,Listing Broker Company,Amenities,Amenity Comments,Building Size,Building Primary Owner,Column Spacing Width,Column Spacing Depth,Building Location
3371,29422,900 Technology Way,Libertyville Offices at Pine Meadow - A(West),150,Libertyville,Illinois,60048,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,Excellent,1st,Yes,Yes,No,No,No,,"3,484","3,484",$28.94,$29.94,Modified Gross,,"3,484","3,484","15,284",$19.00,,,,6-9-2016,,,,,Vacant,,,,No,,,,,"45,360","Libertyville Office Investors, LLC",,,
3382,335608,905 W Fulton St,905 West Fulton Market,,Chicago,Illinois,60607,Chicago,CBD,Fulton Market,,Office,Office,Creative,,A,,Under Construction,Direct,For Lease,,,,2nd,No,No,Yes,No,No,,"20,703","20,703",$43.24,$48.24,N,,"20,703","20,703",0,$34.00,,,,2-7-2017,,,,,Specific Date,5-1-2019,,,Yes,,,,,"108,650",Thor Equities,,,
3386,29435,909 Davis St,909 Davis,,Evanston,Illinois,60201,Chicago,Suburban,North Cook County,Evanston,Office,Office,Office,,A,,Existing,Sublet,For Lease,,,,2nd,No,No,No,No,No,,"4,853","4,853",$16.00,$17.00,Full Service Gross,,"4,853","4,853","26,076",$0.00,,,,2-28-2018,,,,12-1-2018,TBD,,0.0,0.0,Yes,,Newmark Knight Frank,,,"207,743",Franklin Street Properties,,,
3392,397709,909 W Bliss St,North Branch River Campus,,Chicago,Illinois,60642,Chicago,Non-CBD,Goose Island,,Office,Office,Creative,,A,,Proposed Short-Term,Direct,For Lease,,,,1st,Yes,No,Yes,No,Yes,,"43,299","56,452",$41.50,$43.50,,,"56,452","260,922","260,922",$0.00,,,,6-23-2014,,1-1-2017,,,Specific Date,9-1-2019,0.0,0.0,No,,,,,"260,922",R2 Companies,,,
3398,397739,915-939 W North Ave,North Avenue Collection,,Chicago,Illinois,60642,Chicago,Non-CBD,Clybourn Corridor,Halsted Triangle,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,No,No,No,No,No,,444,444,$16.50,$21.50,,,444,444,"16,883",$0.00,,,,6-26-2015,,,,1-1-2019,Vacant,,0.0,0.0,Yes,,,,,"50,158",Principal Global Investors,,,
3404,6145,919 N Michigan Ave,Palmolive Building,,Chicago,Illinois,60611,Chicago,CBD,North Michigan Avenue,,Office,Office,Condo,,A,,Existing,Direct,For Lease,,Full Build-Out,,1st,No,No,No,No,No,,"1,278","1,278",$14.50,$16.50,,,"1,278","1,278","13,397",$0.00,,,,10-15-2015,,,,,Vacant,,,,No,,,,,"352,608",Draper & Kramer,,,
3407,29455,9377 W Higgins Rd,Riverway Central,120,Rosemont,Illinois,60018,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,No,No,No,No,,"2,534","2,534",$43.24,$47.24,N,,"26,594","139,685","139,685",$22.00,,,,6-7-2018,,12-1-2019,,,Specific Date,12-1-2019,0.0,0.0,Yes,,,,,"313,478",Adventus Realty Trust,,,
3419,350176,939 W Fulton St,939 West Fulton Market,300,Chicago,Illinois,60607,Chicago,CBD,Fulton Market,,Office,Office,Creative,,A,,Existing,Direct,,,,,1st-3rd,No,No,No,No,No,,,"37,353",$25.75,$29.75,Full Service Gross,,,"37,353",0,,,,,6-27-2018,,,,9-1-2018,Vacant,,,,Yes,,,,,"49,957",Madison Capital,,,
3420,29456,9399 W Higgins Rd,Riverway West,140W,Rosemont,Illinois,60018,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,"1,642","1,642",$16.00,$18.00,Full Service Gross,,"1,642","1,642","9,479",$22.00,,,,8-27-2009,,,,,Vacant,,,,Yes,,,,,"260,992",Adventus Realty Trust,,,
3423,536340,9400 W Higgins Rd,,301,Rosemont,Illinois,60018,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Existing,Sublet,For Lease,,Full Build-Out,Excellent,3rd,Yes,Yes,No,No,No,,"7,044","7,044",$21.00,$22.00,Plus-E,,"7,044","7,044","7,044",,,,,8-6-2019,,,,,Vacant,,,,No,,CBRE,,,"180,000",Orthopaedic Research and Education Foundation,,,
3424,578359,942-944 W Fulton Market,942 W Fulton Market,,Chicago,Illinois,60607,Chicago,CBD,Fulton Market,,Office,Office,Office,,A,,Proposed Long-Term,Direct,For Lease,,Raw Space,,LL,Yes,Yes,No,No,No,,"3,700","3,700",$20.00,$25.00,Full Service Gross,,"3,700","3,700","3,700",,,,,4-11-2019,,,,,Vacant,,120.0,120.0,No,,Thor Equities,,,"23,014",Thor Equities,,,
3427,29468,950 Technology Way,Pine Meadow Center II,110,Libertyville,Illinois,60048,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,No,No,No,No,,"2,573","2,573",$24.50,$25.50,NNN,,"2,573","2,573","9,352",,,,,3-18-2019,,,,,Specific Date,1-1-2020,,,Yes,,NAI Hiffman,,,"90,258","EverWest Real Estate Investors, LLC",,,
3432,29469,9500 W Bryn Mawr Ave,9500 West Bryn Mawr,120,Rosemont,Illinois,60018,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,"8,710","8,710",$27.84,$32.84,N,,"11,773","11,773","11,773",$19.50,,,,5-4-2018,,2-1-2019,,,Specific Date,2-1-2019,0.0,0.0,Yes,,Cushman & Wakefield,,,"190,000",Higgins Development Partners,,,
3436,29470,9501 Technology Blvd,Rosemont Corporate Center,200,Rosemont,Illinois,60018,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,2nd,Yes,No,No,No,No,,"31,414","31,414",$28.10,$33.10,Full Service Gross,,"31,414","31,414","31,414",,,,,5-30-2019,,,,,Specific Date,7-1-2020,,,Yes,,Colliers International,,,"121,117","Ryan Companies US, Inc.",,,
3443,29473,953 American Ln,American Center,,Schaumburg,Illinois,60173,Chicago,Suburban,Northwest,Schaumburg,Office,Office,Office,,A,,Existing,Sublet,For Lease,,,,1st,Yes,No,No,No,Yes,,"6,246","21,137",$40.00,$41.00,Modified Gross,,"21,137","21,137","21,137",$16.50,,,,7-12-2018,,,,,30 Days,,0.0,0.0,Yes,,,,,"109,373",Atlas Financial Holdings,,,
3445,29475,9550 W Higgins Rd,Pointe O'Hare I,200,Rosemont,Illinois,60018,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,Yes,No,No,No,,"9,726","9,726",$52.00,$53.00,N,,"9,726","9,726","26,239",$23.00,,,,1-21-2016,,,,,Vacant,,,,Yes,,,,,"270,512",Blackstone Group,,,
3461,29477,9600 W Bryn Mawr Ave,9600 West Bryn Mawr,150,Rosemont,Illinois,60018,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,"5,697","5,697",,$1.00,Full Service Gross,,,"5,697","43,874",,,,,12-3-2018,,,,,Vacant,,,,Yes,,Cushman & Wakefield,,,"161,676",Higgins Development Partners,,,
3469,6219,980 N Michigan Ave,One Magnificent Mile,650,Chicago,Illinois,60611,Chicago,CBD,North Michigan Avenue,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Shell Space,,6th,No,No,No,No,No,,"2,570","2,570",$29.23,$30.23,Full Service Gross,,"2,570","2,570","21,334",$18.50,,,,2-14-2017,,,,1-1-2019,Vacant,,,,Yes,,,,,"401,032",Sheffield Management,,,
3494,29506,Huntington Blvd,Build-to-Suit,A,Hoffman Estates,Illinois,60010,Chicago,Suburban,Northwest,,Office,Office,Office,,A,,Proposed Short-Term,Direct,,,Shell Space,,1st,Yes,No,No,No,No,,"3,301","3,301",$52.56,$54.56,,,"22,734","155,064","155,064",$0.00,,,,9-28-2009,,,,,TBD,,,,No,,,,,"155,064",McShane Construction Company,,,
