,PropertyID,Address ,Building Name,Suite,City,State,Postal Code,Market ,Sub Market Cluster,Sub Market,Micro Market,Property Type,Building Type,Building Sub Type,Building Sub Specialty,Building Class,Building Sub Class,Building Status,Space Type,Availability Type,Space Condition,Build Out Condition,Condition,Floors,Is Available,Is Vacant,Is Full Floor?,Is Full Building?,Is Divisibile?,View Space,Min Available s.f.,Max Available s.f.,Rent Low,Rent High,Rent Type,Sale Price,Floor Contig s.f.,Large Block (Bldg Contig) s.f.,Calculated Bldg Contig s.f.,Bldg Contig Rent,Operating Expenses p.s.f.,Taxes p.s.f.,Common Area Maintenance p.s.f.,Date on Market,Vacating Tenant Company,Date Vacant,New Tenant,Move In Date,Earliest Move In Timing,Earliest Move in Date,Minimum Lease Term Months,Maximum Lease Term Months,In Statistics?,Sublessor Company,Listing Broker Company,Amenities,Amenity Comments,Building Size,Building Primary Owner,Column Spacing Width,Column Spacing Depth,Building Location
632,107377,1330 W Fulton St,Fulton West,,Chicago,Illinois,60607,Chicago,CBD,Fulton Market,,Office,Office,Creative,,A,,Existing,Direct,For Lease,,Spec,Excellent,3rd,No,Yes,No,No,No,,"19,123","19,123",$29.21,$31.21,N,,"19,123","19,123",0,$33.00,,,,2-17-2017,,,,,Vacant,,0.0,0.0,Yes,,Sterling Bay,,,"266,110",Commerz Real AG,,,
634,539187,1357 N Elston Ave,Salt District,,Chicago,Illinois,60642,Chicago,Non-CBD,Goose Island,,Office,Office,Mixed-Use,,A,,Under Construction,Direct,For Lease,,,,1st,No,No,No,No,No,,"10,000","10,000",,$2.00,Full Service Gross,,,,0,,,,,11-27-2018,,,,7-1-2019,Vacant,,,,Yes,,R2 Companies,,,"130,000",R2 Companies,,,
635,431129,1375 W Fulton St,1375 W Fulton Street,400,Chicago,Illinois,60607,Chicago,CBD,Fulton Market,,Office,Office,Creative,,A,,Under Construction,Direct,For Lease,,,,4th,Yes,No,No,No,No,,"34,652","34,652",$0.00,$2.00,Full Service Gross,,"34,652","34,652","34,700",,,,,8-13-2019,,,,,Specific Date,4-1-2020,,,Yes,,CBRE,,,"315,333",Trammell Crow Company,,,
645,28217,1400 American Ln,Schaumburg Towers I,,Schaumburg,Illinois,60173,Chicago,Suburban,Northwest,Schaumburg,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,"10,674","10,674",$17.50,$20.50,NNN,,"10,674","10,674","25,405",$17.50,,,,2-17-2015,,,,,Vacant,,0.0,0.0,Yes,,,,,"441,531",American Landmark Properties Ltd,,,
654,28222,1400 Opus Pl,Executive Towers West III,110,Downers Grove,Illinois,60515,Chicago,Suburban,Eastern East-West,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,"5,096","5,096",$33.00,$34.00,N,,"5,096","5,096","6,918",$16.00,,,,10-16-2012,,,,,Vacant,,,,Yes,,,,,"225,152",Group RMC,,,
660,28230,1411 Opus Pl,Executive Towers West II,,Downers Grove,Illinois,60515,Chicago,Suburban,Eastern East-West,,Office,Office,Office,,A,,Existing,Direct,,,,,P 4,No,No,No,No,No,,,"23,329",$25.00,$29.00,Full Service Gross,,,"23,329","4,592",,,,,9-1-2017,,,,1-1-2019,Vacant,,,,Yes,,,,,"266,404",Group RMC,,,
662,28233,1415 W 22nd St,Oak Brook Regency Tower,250E,Oak Brook,Illinois,60523,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,Yes,No,No,No,,"2,502","2,502",$25.75,$28.75,Full Service Gross,,"2,502","2,502","17,290",,,,,4-2-2019,,,,,Vacant,,36.0,60.0,Yes,,NAI Hiffman,,,"220,860",American Realty Advisors,,,
672,28235,1415 W Diehl Rd,One Tellabs Center,2W,Naperville,Illinois,60563,Chicago,Suburban,Western East-West,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,Yes,No,No,No,,"14,586","14,586",$30.21,$33.21,Full Service Gross,,,"14,586","40,000",,,,,11-16-2018,,,,,Vacant,,,,Yes,,Colliers International,,,"819,513",Office Properties Income Trust,,,
679,28236,1419 Lake Cook Rd,1419 Lake Cook,,Deerfield,Illinois,60015,Chicago,Suburban,North Cook County,,Office,Office,Office,,A,,Existing,Sublet,For Lease,,Full Build-Out,,1st,Yes,No,Yes,No,No,,"24,183","24,183",$26.00,$27.00,Full Service Gross,,"24,183","105,402","105,402",$0.00,,,,12-14-2017,,,,,90 Days,,,,Yes,Walgreens,Cushman & Wakefield,,,"105,403",Realty Income Corporation,,,
683,540410,14225 S 95th Ave,Phase II,409,Orland Park,Illinois,60462,Chicago,Outer Suburbs,South Suburbs,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,933,933,26.25,$29.25,Full Service Gross,,933,933,"6,077",,,,,3-19-2019,,,,,Vacant,,,,No,,,,,"57,516",Edwards Realty Company,,,
688,169312,1440 N Dayton St,,LL02,Chicago,Illinois,60642,Chicago,Non-CBD,Clybourn Corridor,Halsted Triangle,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,LL,Yes,Yes,No,No,No,,"2,829","2,829",$27.43,$28.43,N,,"8,298","8,298","8,298",$30.50,,,,5-19-2016,,,,,Vacant,,0.0,0.0,Yes,,,,,"66,661","Evergreen Properties, LLC",,,
693,28247,1440-1472 Market St,Building A,B-107B,Des Plaines,Illinois,60016,Chicago,Suburban,O'Hare,,Office,Office,Medical,,A,,Existing,Direct,For Lease,,,,1st,No,No,No,No,No,,"1,736","1,736",$35.00,$38.00,NNN,,"1,736","1,736",0,$18.00,,,,3-27-2018,,,,1-1-2019,Vacant,,0.0,0.0,No,,,,,"32,530","World Class Acquisitions, LLC",,,
709,335615,145 S Wells St,145 South Wells,,Chicago,Illinois,60606,Chicago,CBD,Central Loop,,Office,Office,Creative,,A,,Under Construction,Direct,For Lease,,,,GRND,No,No,No,No,No,,"4,013","4,013",47,$50.00,,,,,"12,706",,,,,1-18-2019,,,,2-18-2019,,,,,Yes,,"Baum Realty Group, LLC",,,"224,157",Moceri & Rozak,,,
729,28249,1450 American Ln,Schaumburg Towers II,,Schaumburg,Illinois,60173,Chicago,Suburban,Northwest,Schaumburg,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,Yes,No,No,,"15,822","15,822",$42.00,$44.00,NNN,,"15,822","15,822","25,406",$17.50,,,,2-18-2015,,,,,Vacant,,,,Yes,,,,,"440,538",American Landmark Properties Ltd,,,
745,28250,1450 Busch Pkwy,,100,Buffalo Grove,Illinois,60089,Chicago,Suburban,North Lake County,,Office,Office,Medical,,A,,Existing,Direct,For Lease,,,,1st,Yes,No,No,No,No,,"26,684","26,684",$44.50,$47.50,N,,"32,859","32,859","32,859",$21.50,,,,7-18-2018,,8-1-2019,,,Specific Date,8-1-2019,0.0,0.0,No,,,,,"64,860",Senior Housing Properties Trust,,,
749,28254,1475 E Woodfield Rd,Schaumburg Corporate Center III,100,Schaumburg,Illinois,60173,Chicago,Suburban,Northwest,Schaumburg,Office,Office,Office,,A,,Existing,Direct,For Lease,,Spec,,1st,No,No,No,No,No,,"5,182","5,182",$48.82,$50.82,N,,"5,182","5,182","23,858",$14.50,$8.29,$5.08,,7-5-2018,,,,9-18-2019,Specific Date,9-18-2019,,,Yes,,,,,"308,088",GlenStar Properties,,,
762,28259,15 Tower Ct,,,Gurnee,Illinois,60031,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,,,,,1st,Yes,Yes,No,No,No,,"1,000","1,000",23,$24.00,N,,"1,000","1,000","1,000",,,,,12-5-2018,,,,,Vacant,,,,No,,Greenleaf Center,,,"54,000",MBRE Healthcare,,,
763,28260,150 E Pierce Rd,150 East Pierce,130,Itasca,Illinois,60143,Chicago,Suburban,Northwest,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,No,No,No,No,No,,"4,599","4,599",$0.00,$5.00,Full Service Gross,,"4,599","4,599","29,190",$17.00,,,,6-30-2014,,,,1-1-2019,Vacant,,,,Yes,,,,,"185,020",Hamilton Partners,,,
773,28262,150 N Field Dr,Two Conway Park,195,Lake Forest,Illinois,60045,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,1st,Yes,Yes,No,No,No,,"6,440","6,440",$41.00,$42.00,Full Service Gross,,"6,440","6,440","18,376",,,,,6-24-2019,,,,,Vacant,,,,Yes,,CBRE,,,"121,000",Sun Life Institutional Investments,,,
776,28263,150 N Martingale Rd,150 North Martingale,100,Schaumburg,Illinois,60173,Chicago,Suburban,Northwest,Schaumburg,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,1st,Yes,No,No,No,No,,"18,580","18,580",$21.00,$22.00,N,,"18,580","18,580","21,640",$13.50,,,,9-12-2017,,,,,Specific Date,12-1-2019,,,Yes,,,,,"277,300",Sperry Commercial,,,
789,28265,150 NW Point Blvd,150 NW Point,,Elk Grove Village,Illinois,60007,Chicago,Suburban,Northwest,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,4th,Yes,Yes,Yes,No,No,,"29,235","29,235",$48.00,$52.00,N,,"29,235","29,235","29,235",$12.00,,,,12-1-2016,,,,,Negotiable,,,,Yes,,,,,"176,844","Topco Associates, LLC",,,
790,28272,1500 Mcconnor Pkwy,Windy Point I,4,Schaumburg,Illinois,60173,Chicago,Suburban,Northwest,Schaumburg,Office,Office,Mixed-Use,,A,,Existing,Direct,For Lease,,,,4th,Yes,Yes,No,No,No,,"17,349","17,349",$31.69,$33.69,Full Service Gross,,"17,349","17,349","102,315",,,,,12-5-2018,,,,,Vacant,,,,Yes,,Newmark Knight Frank,,,"188,109",Bridge Investment Group,,,
797,397698,1500 W Carroll Ave,1500 West Carroll,,Chicago,Illinois,60607,Chicago,CBD,Fulton Market,,Office,Office,Creative,,A,,Existing,Sublet,For Lease,,,,1st,No,No,No,No,No,,"3,568","3,568",$20.00,$21.00,Modified Gross,,,,"6,350",,,,,6-24-2019,,,,7-24-2019,,,,,Yes,,,,,"38,100",Dayton Street Partners LLC,,,
802,28276,1501 E Woodfield Rd,Schaumburg Corporate Center I,105E,Schaumburg,Illinois,60173,Chicago,Suburban,Northwest,Schaumburg,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,"3,638","3,638",$24.00,$29.00,N,,"3,638","3,638","33,632",,$8.29,$5.08,,3-8-2019,,,,,Specific Date,8-1-2019,,,Yes,,,,,"380,433",GlenStar Properties,,,
822,28282,1515 E Woodfield Rd,Schaumburg Corporate Center II,116,Schaumburg,Illinois,60173,Chicago,Suburban,Northwest,Schaumburg,Office,Office,Office,,A,,Existing,Direct,For Lease,,Spec,,1st,No,No,No,No,No,,"1,047","1,047",$40.00,$41.00,N,,"1,047","1,047","24,238",$14.50,$7.61,$4.67,,6-27-2018,,,,7-18-2019,,,,,Yes,,,,,"339,332",First Midwest Bank,,,
844,28283,1515 W 22nd St,Oak Brook Regency West Tower,250W,Oak Brook,Illinois,60523,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,Yes,No,No,Yes,,"5,636","8,495",$27.87,$28.87,N,,"8,495","8,495","8,788",$23.00,,,,6-5-2018,,,,,Vacant,,0.0,0.0,Yes,,,,,"220,860",American Realty Advisors,,,
849,389752,1515 W Webster Ave,CH Robinson BTS,,Chicago,Illinois,60614,Chicago,Non-CBD,Clybourn Corridor,,Office,Office,Office,,A,,Existing,Direct,,,,,,No,No,No,No,No,,,"207,000",,$5.00,,,,"207,000",0,,,,,6-24-2019,,,,1-1-2020,Specific Date,1-1-2020,,,Yes,,,,,"207,000",Sterling Bay,,,
850,529830,15255 S 94th Ave,Orland Park Executive Towers I,111,Orland Park,Illinois,60462,Chicago,Outer Suburbs,South Suburbs,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,"1,511","1,511",$23.00,$26.00,NNN,,,,"5,000",,,,,11-7-2018,,,,,Vacant,,,,No,,CBRE,,,"73,648",First Investment Corporation,,,
854,28290,155 N Pfingsten Rd,155 North Pfingsten,150,Deerfield,Illinois,60015,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,No,No,No,No,No,,"5,428","5,428",$31.75,$33.75,Full Service Gross,,,,"7,865",,,,,11-19-2018,,,,2-22-2019,Vacant,,,,Yes,,NAI Hiffman,,,"119,265",Ameritus,,,
866,28298,1560 Sherman Ave,One Rotary Center,,Evanston,Illinois,60201,Chicago,Suburban,North Cook County,Evanston,Office,Office,Office,,A,,Existing,Sublet,For Lease,,Full Build-Out,Excellent,10th,Yes,Yes,No,No,No,,"1,422","1,422",$41.50,$43.50,Full Service Gross,,"1,422","1,422","1,422",$28.00,,,,2-2-2018,,,,,30 Days,,0.0,0.0,Yes,,,,,"368,767",Rotary International,,,
868,28304,1585 N Barrington Rd,Doctors Building Two,206,Hoffman Estates,Illinois,60169,Chicago,Suburban,Northwest,,Office,Office,Condo,,A,,Existing,Direct,For Lease,,,,2nd,Yes,Yes,No,No,No,,"1,667","1,667",,$4.00,Modified Gross,,"1,667","1,667","5,206",$23.50,,,,5-9-2017,,,,,Vacant,,,,No,,,,,"90,000",Todd J Meredith,,,
878,335609,159 N Sangamon St,900 West,,Chicago,Illinois,60607,Chicago,CBD,Fulton Market,,Office,Office,Creative,,A,,Existing,Sublet,For Lease,,Full Build-Out,Excellent,2nd,No,No,No,No,Yes,,100,"19,850",$30.83,$34.83,Full Service Gross,,"19,850","39,700",0,$0.00,,,,1-12-2018,,,,,30 Days,,0.0,0.0,Yes,,,,,"45,260",Tucker Development,,,
881,28307,1600 Golf Rd,1600 Corporate Center,525,Rolling Meadows,Illinois,60008,Chicago,Suburban,Northwest,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,5th,No,No,No,No,No,,"1,460","1,460",$45.00,$46.00,Full Service Gross,,"3,221","3,221","21,125",$24.00,,,,12-25-2018,,,,1-5-2019,Vacant,,,,Yes,,NAI Hiffman,,,"255,440",Helios Properties,,,
886,28308,1600 McConnor Pky,Windy Point II,,Schaumburg,Illinois,60173,Chicago,Suburban,Northwest,Schaumburg,Office,Office,Office,,A,,Existing,Sublet,For Lease,,,Excellent,9th,Yes,No,No,No,No,,"28,297","28,297",$27.00,$29.00,Full Service Gross,,"28,297","84,891","84,891",,,,,6-3-2019,,,,,30 Days,,,,Yes,,JLL,,,"300,686",Bridge Commercial Real Estate,,,
889,28314,1603 Orrington Ave,Orrington Plaza,305,Evanston,Illinois,60201,Chicago,Suburban,North Cook County,Evanston,Office,Office,Office,,A,,Existing,Sublet,For Lease,,,,3rd,No,No,No,No,No,,"2,724","2,724",$41.50,$43.50,Full Service Gross,,"2,724","2,724","14,252",$0.00,,,,2-2-2018,,,,12-1-2018,TBD,,0.0,0.0,Yes,,,,,"307,528",GEM Realty Capital,,,
904,28318,1622 Willow Rd,Willow Preserve,,Northfield,Illinois,60093,Chicago,Suburban,North Cook County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Full Build-Out,,1st,Yes,Yes,No,No,Yes,,"1,000","11,622",$30.83,$33.83,Full Service Gross,,"11,622","11,622","14,687",,,,,1-7-2019,,,,,Vacant,,,,No,,Protect Realty,,,"26,309",Willow Building LLC,,,
909,28322,1650 Lake Cook Rd,1650 Lake Cook,150,Deerfield,Illinois,60015,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,1st,No,No,No,No,No,,"3,648","3,648",$41.35,$43.35,N,,"3,648","3,648","26,019",$16.50,,,,10-24-2011,,,,4-29-2019,,,,,Yes,,JLL,,,"125,690",Mjh Deerfield Llc,,,
912,335612,167 N Green St,167 North Green,,Chicago,Illinois,60661,Chicago,CBD,Fulton Market,,Office,Office,Creative,,A,,Under Construction,Direct,For Lease,,,,1st,No,No,No,No,Yes,,"2,000","25,000",,$2.00,N,,"25,000","599,996","599,996",$0.00,,,,2-10-2017,,,,,Specific Date,6-1-2020,,,Yes,,,,,"635,000",Walton Street Capital,,,
929,28329,1700 E Golf Rd,Two Century Centre,,Schaumburg,Illinois,60173,Chicago,Suburban,Northwest,Schaumburg,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,6th,No,No,No,No,Yes,,"2,000","8,841",$24.50,$29.50,Full Service Gross,,"8,841","8,841","16,008",$25.00,,,,9-24-2014,,,,7-2-2019,Specific Date,7-2-2019,,,Yes,,NAI Hiffman,,,"226,387","Sovereign Partners, LLC",,,
934,28337,1701 Golf Rd,Tower I,600,Rolling Meadows,Illinois,60008,Chicago,Suburban,Northwest,,Office,Office,Office,,A,,Existing,Direct,,,,,P 6,No,No,No,No,No,,,"6,800",$28.94,$32.94,Full Service Gross,,,"6,800","23,608",,,,,10-1-2017,,,,1-1-2018,TBD,,,,Yes,,,,,"280,448",Rubenstein Partners,,,
939,28339,1701 Golf Rd,Continental Tower III,108,Rolling Meadows,Illinois,60008,Chicago,Suburban,Northwest,,Office,Office,Mixed-Use,,A,,Existing,Direct,For Lease,,Spec,,1st,Yes,Yes,No,No,No,,"1,435","1,435",$46.09,$51.09,N,,"1,435","1,435","23,682",$16.50,,,,7-26-2017,,,,,Vacant,,,,Yes,,,,,"259,164",Rubenstein Partners,,,
958,28338,1701 Golf Rd,Tower II,,Rolling Meadows,Illinois,60008,Chicago,Suburban,Northwest,,Office,Office,Office,,A,,Existing,Sublet,For Lease,,Full Build-Out,,8th,No,No,Yes,No,No,,"23,682","23,682",$27.00,$29.00,,,"23,682","71,046",0,$0.00,,,,6-27-2018,,,,4-1-2019,60 Days,,0.0,0.0,Yes,,,,,"281,528",Rubenstein Partners,,,
965,28340,1707 N Randall Rd,1707 North Randall,,Elgin,Illinois,60123,Chicago,Suburban,Northwest,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,1st,Yes,Yes,No,No,Yes,,"1,200","11,634",,$4.00,Full Service Gross,,"11,634","11,634","109,076",$21.00,,,,11-10-2008,,,,,Vacant,,,,Yes,,,,,"436,000","John B. Sanfilippo & Son, Inc.",,,
974,28364,1751 Lake Cook Rd,1751 Lake Cook,100,Deerfield,Illinois,60015,Chicago,Suburban,North Cook County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Full Build-Out,,1st,Yes,Yes,No,No,No,,"16,022","16,022",$47.00,$50.00,N,,"32,044","16,022","16,022",$15.00,,,,3-14-2016,,,,,Vacant,,,,Yes,,,,,"196,524","Stanton Road Capital, LLC",,,
982,541593,17850 S Kedzie Ave,Medical Office Center,3200,Hazel Crest,Illinois,60429,Chicago,Outer Suburbs,South Suburbs,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,3rd,Yes,Yes,No,No,No,,"2,095","2,095",$51.00,$54.00,Full Service Gross,,"4,492","4,492","4,492",,,,,1-9-2019,,,,,Vacant,,,,No,,"Lillibridge Healthcare Services, Inc. affiliate",,,"50,491","Lillibridge Healthcare Services, Inc. affiliate",,,
983,4216,180 N Stetson Ave,Two Prudential Plaza,650,Chicago,Illinois,60601,Chicago,CBD,East Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,6th,Yes,Yes,No,No,No,,"3,968","3,968",$19.00,$20.00,Full Service Gross,,"3,968","3,968","21,548",$25.00,,,,2-25-2008,,,,,Vacant,,,,Yes,,,,,"978,515",Sterling Bay,,,
1025,28388,1800 Hollister Dr,,G18,Libertyville,Illinois,60048,Chicago,Suburban,North Lake County,,Office,Office,Medical,,A,,Existing,Direct,For Lease,,Partial Build-Out,,GRND,Yes,Yes,No,No,No,,"3,194","3,194",$35.00,$37.00,NNN,,"12,355","12,355","12,355",$17.00,,,,12-21-2015,,,,,Vacant,,,,No,,,,,"57,000","Hollister, Inc.",,,
1029,28392,1800 S York Rd,,,Oak Brook,Illinois,60523,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Proposed Long-Term,Direct,For Lease,,Shell Space,,1st,Yes,No,Yes,No,No,,"50,000","50,000",$38.00,$39.00,,,"50,000","90,000","90,000",$0.00,,,,3-18-2009,,,,,TBD,,,,No,,,,,"150,000",Irgens Partners,,,
1032,4239,181 W Madison St,181 Madison,,Chicago,Illinois,60602,Chicago,CBD,Central Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,No,No,No,No,No,,"2,996","2,996",22,$24.00,Full Service Gross,,,,"22,318",,,,,7-8-2019,,,,8-8-2019,,,,,Yes,,MB Real Estate Services,,,"952,559",HNA Group,,,
1053,28412,184 Shuman Blvd,Park Lake Center,140,Naperville,Illinois,60563,Chicago,Suburban,Western East-West,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,"4,684","4,684",,$4.00,Full Service Gross,,"4,684","4,684","10,282",$15.50,,,,9-7-2016,,,,,Vacant,,,,Yes,,,,,"131,284",Northern Exposure LP,,,
1063,575034,1840 W Webster Ave,,,Chicago,Illinois,60614,Chicago,Non-CBD,Clybourn Corridor,,Office,Office,Office,,A,,Proposed Long-Term,Direct,For Lease,,,,3rd,Yes,Yes,Yes,No,No,,"35,000","35,000",50.65,$53.65,,,"35,000","175,000","175,000",,,,,3-28-2019,,,,,Negotiable,,,,No,,JLL,,,"175,000",Webster Point LLC,,,
1068,554941,18440 Thompson Ct,,,Tinley Park,Illinois,60477,Chicago,Outer Suburbs,South Suburbs,,Office,Office,Office,,A,,Existing,Sublet,For Lease,,,,1st,No,No,No,No,No,,"3,766","3,766",$22.50,$27.50,Full Service Gross,,,,0,,,,,1-10-2019,,,,2-10-2019,,,,,No,,JLL,,,"40,004",Vernon Development,,,
1069,586499,1851 Silver Cross Blvd,,,New Lenox,Illinois,60451,Chicago,Outer Suburbs,South Suburbs,,Office,Office,Office,,A,,Under Construction,Direct,For Lease,,,,1st,Yes,No,Yes,No,No,,"3,400","3,400",$27.97,$28.97,Full Service Gross,,"3,400","23,400","23,400",,,,,6-19-2019,,,,,Specific Date,1-1-2020,,,No,,HSA Commercial Real Estate,,,"40,000",HSA Commercial Real Estate,,,
1072,530217,1875 Silver Cross Blvd,,,New Lenox,Illinois,60451,Chicago,Outer Suburbs,South Suburbs,,Office,Office,Office,,A,,Under Construction,Direct,For Lease,,,,1st,No,No,No,No,No,,"20,000","20,000",24,$28.00,Full Service Gross,,,,0,,,,,11-9-2018,,,,10-5-2019,,,,,No,,HSA Commercial Real Estate,,,"40,000",,,,
1074,570577,1899 W Winchester Rd,,,Libertyville,Illinois,60048,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,Excellent,2nd,Yes,Yes,Yes,No,Yes,,"8,000","31,077",$19.00,$24.00,Full Service Gross,,"31,077","31,077","31,077",,,,,3-14-2019,,,,,Vacant,,60.0,60.0,No,,BREIS Barrington RE Investment Services LLC,,,"102,993",Lake County Forest Preserve District,,,
1075,28017,1899 W Winchester Rd,,,Libertyville,Illinois,60048,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,Excellent,2nd,Yes,Yes,Yes,No,Yes,,"8,000","31,077",$35.00,$40.00,Modified Gross,,"31,077","31,077","31,077",$21.00,,,,12-8-2016,,,,,Vacant,,,,No,,,,,"102,993",Lake County Forest Preserve District,,,
1076,28432,18W140 Butterfield Rd,One Lincoln Centre,,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,,,,,2nd,Yes,Yes,No,No,No,,,"14,427",$32.90,$34.90,Full Service Gross,,,"14,427","15,882",,,,,9-23-2019,,,,,Vacant,,,,Yes,,,,,"317,525",Blackstone Group,,,
1090,4297,190 S LaSalle St,190 S LaSalle Street,440,Chicago,Illinois,60603,Chicago,CBD,Central Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Spec,Average,4th,No,No,No,No,Yes,,"1,956","8,298",$35.04,$38.04,Full Service Gross,,"8,298","8,298","44,474",,,,,11-19-2018,,,,9-1-2019,Specific Date,9-1-2019,,,Yes,,Tishman Speyer,,,"798,782",Beacon Capital Partners,,,
1113,28434,1900 E Golf Rd,Centennial Center,L10,Schaumburg,Illinois,60173,Chicago,Suburban,Northwest,Schaumburg,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,No,No,No,No,,"1,057","1,057",$41.00,$42.00,Full Service Gross,,"1,057","1,057","24,810",$25.00,,,,7-11-2018,,,,,30 Days,,0.0,0.0,Yes,,,,,"276,215","Sovereign Partners, LLC",,,
1121,28442,1901 Butterfield Rd,Esplanade IV,100,Downers Grove,Illinois,60515,Chicago,Suburban,Eastern East-West,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,No,No,No,No,No,,"3,422","3,422",$38.44,$41.44,N,,"3,422","3,422","20,050",$19.75,,,,5-29-2018,,,,4-1-2019,30 Days,,0.0,0.0,Yes,,,,,"278,285",Hamilton Partners,,,
1132,28444,1901 N Roselle Rd,Chatham Centre,,Schaumburg,Illinois,60173,Chicago,Suburban,Northwest,Schaumburg,Office,Office,Office,,A,,Existing,Direct,For Lease,,,Excellent,1st,No,No,No,No,No,,"10,000","6,000",$19.75,$21.75,Full Service Gross,,"10,000","6,000","8,715",,,,,5-15-2019,,,,10-1-2019,Specific Date,,,,Yes,,JLL,,,"205,614",JF McKinney & Associates,,,
1147,28457,1925 W Field Ct,West Lake at Conway Park,,Lake Forest,Illinois,60045,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Sublet,For Lease,,Full Build-Out,,1st,Yes,No,No,No,No,,"2,500","2,500",$0.00,$3.00,Full Service Gross,,"2,500","2,500","2,500",$0.00,,,,1-3-2018,,,,,30 Days,,,,Yes,,,,,"100,000",Blackstone Group,,,
1149,28477,2 Corporate Dr,Two Corporate,100,Long Grove,Illinois,60047,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,,,,,P 1,No,No,No,No,No,,,"10,247",$24.00,$25.00,Full Service Gross,,,"10,247","35,383",,,,,10-1-2017,,,,3-1-2018,Vacant,,,,Yes,,,,,"173,237",Apollo Global Management,,,
1152,28480,2 Mid America Plz,Two Mid America,120,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,No View Space,"2,222","2,222",$29.64,$31.64,N,,"2,222","2,222","17,746",$22.00,,,,11-10-2017,,,,,Vacant,,,,Yes,,,,,"204,630",Equus Capital Partners,,,
1162,28481,2 Overlook Pt,Two Overlook Point,,Lincolnshire,Illinois,60069,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,Yes,No,No,,"56,424","56,424",$30.34,$35.34,N,,"56,424","56,424","56,424",$16.50,,,,9-28-2015,,,,,Vacant,,,,Yes,,,,,"318,403",Northwestern Mutual Life Insurance Company,,,
1167,28482,2 Pierce Pl,Two Pierce Place,200,Itasca,Illinois,60143,Chicago,Suburban,Northwest,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,Yes,No,No,No,,"13,850","13,850",$35.89,$36.89,NNN,,"13,850","13,850","22,957",$15.50,,,,11-12-2015,,,,,Vacant,,,,Yes,,,,,"485,556",Piedmont Office Realty Trust,,,
